flightId,finalStatus,flightNumber,arrivalAirportFS,divertedAirport,flightDuration,carrier,equipment,depTimeScheduled,depTimeActual,arrTimeScheduled,arrTimeActual
1395691048,Delayed,521,CTS,null,104,JAL,359,15:25,15:41,17:00,17:25
1395705821,On Time,477,OKA,null,140,ANA,773,15:25,15:37,17:55,17:57
1395635642,On Time,83,KKJ,null,96,StarFlyer,32N,15:25,15:23,17:10,16:59
1395635312,On Time,61,KMI,null,99,Solaseed Air,738,15:25,15:30,17:00,17:09
1395705464,Delayed,1105,CTS,null,106,ANA,32Q,15:30,15:37,17:05,17:23
1395690964,On Time,437,MYJ,null,88,JAL,738,15:30,15:29,16:55,16:57
1395706119,Delayed,749,NTQ,null,76,ANA,32N,15:30,15:42,16:30,16:58
1395656020,On Time,307,KOJ,null,99,Skymark Airlines,738,15:30,15:29,17:20,17:08
1395706157,On Time,797,OIT,null,100,ANA,738,15:30,15:28,17:05,17:08
1395691348,On Time,93,GMP,null,125,JAL,788,15:35,15:34,17:55,17:39
1395655998,On Time,109,UKB,null,75,Skymark Airlines,738,15:35,15:37,16:50,16:47
1395661486,On Time,386,CAN,null,275,China Southern Airlines,773,15:40,16:14,19:15,19:02
1395705685,On Time,261,FUK,null,117,ANA,788,15:40,15:47,17:30,17:44
1395690969,On Time,461,TKS,null,68,JAL,738,15:40,15:47,16:50,16:55
1395662384,On Time,648,PKX,null,230,China Southern Airlines,333,15:45,15:55,18:45,18:45
1395733103,On Time,804,IAD,null,750,United Airlines,772,15:45,15:36,15:50,15:06
1395684504,Delayed,29,CTS,null,107,Air Do,762,15:50,15:55,17:20,17:42
1395733154,On Time,876,SFO,null,610,United Airlines,772,15:50,15:41,09:45,09:51
1395705656,On Time,1895,HAC,null,45,ANA,738,15:50,15:48,16:40,16:33
1395706093,On Time,697,UBJ,null,90,ANA,32Q,15:50,15:54,17:25,17:24
1395690896,Delayed,325,FUK,null,126,JAL,359,15:55,16:05,17:45,18:11
1395635666,On Time,51,FUK,null,123,StarFlyer,320,15:55,15:57,17:50,18:00
1395691359,Delayed,921,OKA,null,141,JAL,359,15:55,16:19,18:20,18:40
1395690305,On Time,147,AOJ,null,89,JAL,738,16:00,15:58,17:15,17:27
1395705794,Delayed,397,SYO,null,78,ANA,32Q,16:00,16:02,17:00,17:20
1395706103,Delayed,71,CTS,null,126,ANA,78J,16:00,16:07,17:40,18:13
1395657439,Delayed,134,PEK,null,228,Air China,32Q,16:00,16:36,19:00,19:24
1395706098,Delayed,727,IWJ,null,117,ANA,32Q,16:00,16:16,17:30,18:13
1395705762,On Time,33,ITM,null,60,ANA,738,16:00,16:06,17:05,17:06
1395656046,Delayed,21,FUK,null,126,Skymark Airlines,738,16:05,16:23,18:05,18:29
1395664410,On Time,120,MSP,null,694,Delta Air Lines,359,16:05,15:55,13:35,13:29
1395705452,On Time,1095,OKA,null,140,ANA,789,16:05,16:18,18:40,18:38
1395706216,On Time,865,GMP,null,155,ANA,763,16:10,16:10,18:35,18:45
1395705932,Delayed,567,KCZ,null,69,ANA,738,16:15,16:59,17:35,18:08
1395684486,Delayed,73,KUH,null,122,Air Do,73G,16:15,16:39,17:55,18:41
1395690776,Delayed,2,SFO,null,604,JAL,773,16:20,16:23,10:05,10:27
1395660483,On Time,549,HKG,null,263,Cathay Pacific,773,16:20,16:18,20:00,19:41
1395665036,On Time,166,SEA,null,569,Delta Air Lines,359,16:20,16:22,09:45,09:51
1395705719,Delayed,319,TOY,null,80,ANA,32N,16:20,16:30,17:25,17:50
1395705679,Delayed,263,FUK,null,130,ANA,773,16:20,16:29,18:15,18:39
1395705716,Delayed,297,TTJ,null,96,ANA,738,16:20,16:21,17:40,17:57
1395691195,Delayed,695,KMI,null,94,JAL,738,16:25,16:42,18:00,18:16
