flightId,finalStatus,flightNumber,arrivalAirportFS,divertedAirport,operatedBy,gate,terminal,flightDuration,carrier,equipment,depTimeScheduled,depTimeActual,arrTimeScheduled,arrTimeActual,timezone
1395051180,Delayed,119,ITM,null,null,17,1,64,JAL,Boeing 787-8,13:30,13:51,14:35,14:55,9
1395051650,On Time,375,KKJ,null,null,3,1,87,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,13:40,13:41,15:10,15:08,9
1395066138,On Time,991,KIX,null,null,508,2,68,ANA,Airbus A320neo,13:40,13:48,15:05,14:56,9
1394996208,On Time,23,OKA,null,null,52,2,153,Solaseed Air,Boeing 737-800 (winglets) Passenger/BBJ2,13:45,13:52,16:25,16:25,9
1395065935,On Time,679,HIJ,null,null,57,2,77,ANA,Boeing 767-381(ER) Passenger,13:45,14:01,15:05,15:18,9
1395051561,On Time,321,FUK,null,null,11,1,97,JAL,Airbus A350-900,13:45,13:55,15:30,15:32,9
1395017163,On Time,15,FUK,null,null,22,1,102,Skymark Airlines,Boeing 737-800 (winglets) Passenger/BBJ2,13:45,13:49,15:40,15:31,9
1395051825,On Time,577,OBO,null,null,18,1,94,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,13:50,13:48,15:25,15:22,9
1395045880,Delayed,25,CTS,null,null,55,2,106,Air Do,Boeing 737-700 (winglets) Passenger/BBJ1,13:50,14:12,15:25,15:58,9
1395051995,On Time,917,OKA,null,null,7,1,147,JAL,Airbus A350-900,13:55,14:03,16:25,16:30,9
1395065845,Delayed,625,KOJ,null,null,57,2,97,ANA,Boeing 787-8,13:55,14:28,15:35,16:05,9
1395065875,Delayed,67,CTS,null,null,61,2,103,ANA,Boeing 777-200 / 200ER,14:00,14:32,15:35,16:15,9
1395019027,On Time,182,PEK,null,null,109,3,211,Air China,Airbus A330-300,14:00,14:04,17:00,16:35,-6
1395065542,On Time,27,ITM,null,null,53,2,59,ANA,Boeing 767-381(ER) Passenger,14:00,14:04,15:05,15:03,9
